Symbol	Description	Chromosome	Aliases
ANP32D	acidic nuclear phosphoprotein 32 family member D	12	PP32R2
ANP32E	acidic nuclear phosphoprotein 32 family member E	1	LANP-L, LANPL
ANPEP	alanyl aminopeptidase, membrane	15	APN, CD13, GP150, LAP1, P150, PEPN
ANTXR1	anthrax toxin receptor 1	2	ATR, GAPO, TEM8
ANTXR2	anthrax toxin receptor 2	4	CMG-2, CMG2, HFS, ISH, JHF
ANXA1	annexin A1	9	ANX1, LPC1
ANXA10	annexin A10	4	ANX14
ANXA11	annexin A11	10	ANX11, CAP-50, CAP50
ANXA13	annexin A13	8	ANX13, ISA
ANXA2	annexin A2	15	ANX2, ANX2L4, CAL1H, HEL-S-270, LIP2, LPC2, LPC2D, P36, PAP-IV
ANXA2R	annexin A2 receptor	5	AX2R, AXIIR, C5orf39
ANXA3	annexin A3	4	ANX3
ANXA4	annexin A4	2	ANX4, HEL-S-274, P32.5, PAP-II, PIG28, PP4-X, ZAP36
ANXA5	annexin A5	4	ANX5, ENX2, HEL-S-7, PP4, RPRGL3
ANXA6	annexin A6	5	ANX6, CBP68
ANXA7	annexin A7	10	ANX7, SNX, SYNEXIN
ANXA8	annexin A8	10	ANX8, CH17-360D5.2
AOC1	amine oxidase, copper containing 1	7	ABP, ABP1, DAO, DAO1, KAO
AOC3	amine oxidase, copper containing 3	17	HPAO, SSAO, VAP-1, VAP1
AOX1	aldehyde oxidase 1	2	AO, AOH1
AP1B1	adaptor related protein complex 1 beta 1 subunit	22	ADTB1, AP105A, BAM22, CLAPB2
AP2M1	adaptor related protein complex 2 mu 1 subunit	3	AP50, CLAPM1, mu2
AP4B1	adaptor related protein complex 4 beta 1 subunit	1	BETA-4, CPSQ5, SPG47
APAF1	apoptotic peptidase activating factor 1	12	APAF-1, CED4
APBA2	amyloid beta precursor protein binding family A member 2	15	D15S1518E, HsT16821, LIN-10, MGC:14091, MINT2, X11-BETA, X11L
APBB1	amyloid beta precursor protein binding family B member 1	11	FE65, MGC:9072, RIR
APC	APC, WNT signaling pathway regulator	5	BTPS2, DP2, DP2.5, DP3, GS, PPP1R46
APC2	APC2, WNT signaling pathway regulator	19	APCL
APCDD1	APC down-regulated 1	18	B7323, DRAPC1, FP7019, HHS, HTS, HYPT1
APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1	14	APE, APE1, APEN, APEX, APX, HAP1, REF1
API5	apoptosis inhibitor 5	11	AAC-11, AAC11
APIP	APAF1 interacting protein	11	APIP2, CGI-29, CGI29, MMRP19, hAPIP
APLN	apelin	X	APEL, XNPEP2
APLP2	amyloid beta precursor like protein 2	11	APLP-2, APPH, APPL2, CDEBP
APMAP	adipocyte plasma membrane associated protein	20	BSCv, C20orf3
APOA1	apolipoprotein A1	11	apo(a)
APOA2	apolipoprotein A2	1	Apo-AII, ApoA-II, apoAII
APOA4	apolipoprotein A4	11	
APOB	apolipoprotein B	2	FLDB, LDLCQ4, apoB-100, apoB-48
APOBEC3A	apolipoprotein B mRNA editing enzyme catalytic subunit 3A	22	A3A, ARP3, PHRBN, bK150C2.1
APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B	22	A3B, APOBEC1L, ARCD3, ARP4, DJ742C19.2, PHRBNL, bK150C2.2
APOBEC3C	apolipoprotein B mRNA editing enzyme catalytic subunit 3C	22	A3C, APOBEC1L, ARDC2, ARDC4, ARP5, PBI, bK150C2.3
APOBEC3G	apolipoprotein B mRNA editing enzyme catalytic subunit 3G	22	A3G, ARCD, ARP-9, ARP9, CEM-15, CEM15, MDS019, bK150C2.7, dJ494G10.1
APOBEC3H	apolipoprotein B mRNA editing enzyme catalytic subunit 3H	22	A3H, ARP-10, ARP10
APOC1	apolipoprotein C1	19	Apo-CI, ApoC-I, apo-CIB, apoC-IB
APOC1P1	apolipoprotein C1 pseudogene 1	19	
APOC2	apolipoprotein C2	19	APO-CII, APOC-II
APOC3	apolipoprotein C3	11	APOCIII
APOD	apolipoprotein D	3	
APOE	apolipoprotein E	19	AD2, APO-E, ApoE4, LDLCQ5, LPG
APOH	apolipoprotein H	17	B2G1, B2GP1, BG
APOL3	apolipoprotein L3	22	APOLIII, CG121, CG12_1, apoL-III
APOL6	apolipoprotein L6	22	APOL-VI, APOLVI
APOM	apolipoprotein M	6	G3a, HSPC336, NG20, apo-M
APP	amyloid beta precursor protein	21	AAA, ABETA, ABPP, AD1I, CTFgamma, CVAP, PN-II, PN2, preA4, APP
APPBP2	amyloid beta precursor protein binding protein 2	17	APP-BP2, HS.84084, PAT1
APPL1	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1	3	APPL, DIP13alpha, MODY14
APPL2	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2	12	DIP13B
APTX	aprataxin	9	AOA, AOA1, AXA1, EAOH, EOAHA, FHA-HIT
AQP1	aquaporin 1 (Colton blood group)	7	AQP-CHIP, CHIP28, CO
AQP2	aquaporin 2	12	AQP-CD, WCH-CD
AQP3	aquaporin 3 (Gill blood group)	9	AQP-3, GIL
AQP4	aquaporin 4	18	MIWC, WCH4
AQP5	aquaporin 5	12	AQP-5, PPKB
AQP8	aquaporin 8	16	AQP-8
AQP9	aquaporin 9	15	AQP-9, HsT17287, SSC1, T17287
AR	androgen receptor	X	AIS8, DHTR, HUMARA, HYSP1, KD, NR3C4, SBMA, SMAX1, TFM, AR
ARAF	A-Raf proto-oncogene, serine/threonine kinase	X	A-RAF1, PKS2, RAFA1, ARAF
ARAP1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1	11	CENTD2
AREG	amphiregulin	4	ARB, CRDGF, SDGF, AREG
ARF1	ADP ribosylation factor 1	1	
ARF3	ADP ribosylation factor 3	12	
ARF4	ADP ribosylation factor 4	3	ARF2
ARF6	ADP ribosylation factor 6	14	
ARFGAP3	ADP ribosylation factor GTPase activating protein 3	22	ARFGAP1
ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1	8	ARFGEP1, BIG1, P200
ARFRP1	ADP ribosylation factor related protein 1	20	ARL18, ARP, Arp1
ARG1	arginase 1	6	
ARG2	arginase 2	14	
ARGLU1	arginine and glutamate rich 1	13	
ARHGAP1	Rho GTPase activating protein 1	11	CDC42GAP, RHOGAP, RHOGAP1, p50rhoGAP
ARHGAP11A	Rho GTPase activating protein 11A	15	GAP (1-12)
ARHGAP18	Rho GTPase activating protein 18	6	MacGAP, SENEX, bA307O14.2
ARHGAP23	Rho GTPase activating protein 23	17	
ARHGAP30	Rho GTPase activating protein 30	1	
ARHGAP31	Rho GTPase activating protein 31	3	AOS1, CDGAP
ARHGAP45	Rho GTPase activating protein 45	19	HA-1, HLA-HA1, HMHA1
ARHGAP6	Rho GTPase activating protein 6	X	RHOGAP6, RHOGAPX-1
ARHGDIA	Rho GDP dissociation inhibitor alpha	17	GDIA1, HEL-S-47e, NPHS8, RHOGDI, RHOGDI-1
ARHGDIB	Rho GDP dissociation inhibitor beta	12	D4, GDIA2, GDID4, LYGDI, Ly-GDI, RAP1GN1, RhoGDI2
ARHGEF1	Rho guanine nucleotide exchange factor 1	19	GEF1, LBCL2, LSC, P115-RHOGEF, SUB1.5
ARHGEF11	Rho guanine nucleotide exchange factor 11	1	GTRAP48, PDZ-RHOGEF
ARHGEF12	Rho guanine nucleotide exchange factor 12	11	LARG, PRO2792
ARHGEF15	Rho guanine nucleotide exchange factor 15	17	ARGEF15, E5, Ephexin5, Vsm-RhoGEF
ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2	1	GEF, GEF-H1, GEFH1, LFP40, NEDMHM, P40
ARHGEF26	Rho guanine nucleotide exchange factor 26	3	CSGEF, HMFN1864, SGEF
ARHGEF5	Rho guanine nucleotide exchange factor 5	7	GEF5, P60, TIM, TIM1
ARHGEF7	Rho guanine nucleotide exchange factor 7	13	BETA-PIX, COOL-1, COOL1, Nbla10314, P50, P50BP, P85, P85COOL1, P85SPR, PAK3, PIXB
ARID1A	AT-rich interaction domain 1A	1	B120, BAF250, BAF250a, BM029, C1orf4, CSS2, ELD, MRD14, OSA1, P270, SMARCF1, hELD, hOSA1
ARID1B	AT-rich interaction domain 1B	6	6A3-5, BAF250B, BRIGHT, CSS1, DAN15, ELD/OSA1, MRD12, OSA2, P250R
ARID2	AT-rich interaction domain 2	12	BAF200, CSS6, p200
ARID3B	AT-rich interaction domain 3B	15	BDP, DRIL2
ARID4A	AT-rich interaction domain 4A	14	RBBP-1, RBBP1, RBP-1, RBP1
ARID4B	AT-rich interaction domain 4B	1	BCAA, BRCAA1, RBBP1L1, RBP1L1, SAP180
ARIH2	ariadne RBR E3 ubiquitin protein ligase 2	3	ARI2, TRIAD1
ARL11	ADP ribosylation factor like GTPase 11	13	ARLTS1
ARL13B	ADP ribosylation factor like GTPase 13B	3	ARL2L1, JBTS8
ARL2	ADP ribosylation factor like GTPase 2	11	ARFL2
ARL2BP	ADP ribosylation factor like GTPase 2 binding protein	16	BART, BART1, RP66
ARL3	ADP ribosylation factor like GTPase 3	10	ARFL3
ARL4C	ADP ribosylation factor like GTPase 4C	2	ARL7, LAK
ARL6IP1	ADP ribosylation factor like GTPase 6 interacting protein 1	16	AIP1, ARL6IP, ARMER, SPG61
ARL6IP5	ADP ribosylation factor like GTPase 6 interacting protein 5	3	DERP11, GTRAP3-18, HSPC127, JWA, PRAF3, Yip6b, addicsin, hp22, jmx
ARMC2	armadillo repeat containing 2	6	bA787I22.1
ARMC3	armadillo repeat containing 3	10	CT81, KU-CT-1
ARMC8	armadillo repeat containing 8	3	GID5, HSPC056, S863-2, VID28
ARMCX1	armadillo repeat containing, X-linked 1	X	ALEX1, GASP7
ARMCX2	armadillo repeat containing, X-linked 2	X	ALEX2, GASP9
ARMCX3	armadillo repeat containing, X-linked 3	X	ALEX3, GASP6, dJ545K15.2
ARMT1	acidic residue methyltransferase 1	6	C6orf211
ARNT	aryl hydrocarbon receptor nuclear translocator	1	HIF-1-beta, HIF-1beta, HIF1-beta, HIF1B, HIF1BETA, TANGO, bHLHe2
ARNT2	aryl hydrocarbon receptor nuclear translocator 2	15	WEDAS, bHLHe1
ARNTL	aryl hydrocarbon receptor nuclear translocator like	11	BMAL1, BMAL1c, JAP3, MOP3, PASD3, TIC, bHLHe5
ARNTL2	aryl hydrocarbon receptor nuclear translocator like 2	12	BMAL2, CLIF, MOP9, PASD9, bHLHe6
ARPC1A	actin related protein 2/3 complex subunit 1A	7	Arc40, HEL-68, HEL-S-307, SOP2Hs, SOP2L
ARPC1B	actin related protein 2/3 complex subunit 1B	7	ARC41, PLTEID, p40-ARC, p41-ARC
ARPC2	actin related protein 2/3 complex subunit 2	2	ARC34, PNAS-139, PRO2446, p34-Arc
ARPC3	actin related protein 2/3 complex subunit 3	12	ARC21, p21-Arc
ARPC4	actin related protein 2/3 complex subunit 4	3	ARC20, P20-ARC
ARPC5	actin related protein 2/3 complex subunit 5	1	ARC16, dJ127C7.3, p16-Arc
ARPIN	actin related protein 2/3 complex inhibitor	15	C15orf38
ARPP19	cAMP regulated phosphoprotein 19	15	ARPP-16, ARPP-19, ARPP16, ENSAL
ARRB1	arrestin beta 1	11	ARB1, ARR1
ARRB2	arrestin beta 2	17	ARB2, ARR2, BARR2
ARRDC3	arrestin domain containing 3	5	TLIMP
ART1	ADP-ribosyltransferase 1	11	ART2, ARTC1, CD296, RT6
ARTN	artemin	1	ART, ENOVIN, EVN, NBN
ARVCF	ARVCF, delta catenin family member	22	
ARX	aristaless related homeobox	X	CT121, EIEE1, ISSX, MRX29, MRX32, MRX33, MRX36, MRX38, MRX43, MRX54, MRX76, MRX87, MRXS1, PRTS
AS3MT	arsenite methyltransferase	10	CYT19
ASAH1	N-acylsphingosine amidohydrolase 1	8	AC, ACDase, ASAH, PHP, PHP32, SMAPME
ASAP1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1	8	AMAP1, CENTB4, DDEF1, PAG2, PAP, ZG14P
ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3	1	ACAP4, CENTB6, DDEFL1, UPLC1
ASB3	ankyrin repeat and SOCS box containing 3	2	ASB-3
ASB7	ankyrin repeat and SOCS box containing 7	15	
ASB9	ankyrin repeat and SOCS box containing 9	X	
ASCC3	activating signal cointegrator 1 complex subunit 3	6	ASC1p200, HELIC1, RNAH
ASCL1	achaete-scute family bHLH transcription factor 1	12	ASH1, HASH1, MASH1, bHLHa46
ASCL2	achaete-scute family bHLH transcription factor 2	11	ASH2, HASH2, MASH2, bHLHa45
ASF1A	anti-silencing function 1A histone chaperone	6	CGI-98, CIA, HSPC146
ASF1B	anti-silencing function 1B histone chaperone	19	CIA-II
ASGR1	asialoglycoprotein receptor 1	17	ASGPR, ASGPR1, CLEC4H1, HL-1
ASH1L	ASH1 like histone lysine methyltransferase	1	ASH11, KMT2H, MRD52, ASH1L
ASH2L	ASH2 like histone lysine methyltransferase complex subunit	8	ASH21, ASH2L2, Bre2, ASH2L
ASIC1	acid sensing ion channel subunit 1	12	ACCN2, ASIC, BNaC2
ASIP	agouti signaling protein	20	AGSW, AGTI, AGTIL, ASP, SHEP9
ASL	argininosuccinate lyase	7	ASAL
ASNA1	arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)	19	ARSA-I, ARSA1, ASNA-I, GET3, TRC40
ASNS	asparagine synthetase (glutamine-hydrolyzing)	7	ASNSD, TS11
ASPH	aspartate beta-hydroxylase	8	AAH, BAH, CASQ2BP1, FDLAB, HAAH, JCTN, junctin
ASPM	abnormal spindle microtubule assembly	1	ASP, Calmbp1, MCPH5
ASPN	asporin	9	OS3, PLAP-1, PLAP1, SLRR1C
ASPSCR1	ASPSCR1, UBX domain containing tether for SLC2A4	17	ASPCR1, ASPL, ASPS, RCC17, TUG, UBXD9, UBXN9
ASRGL1	asparaginase like 1	11	ALP, ALP1, CRASH
ASS1	argininosuccinate synthase 1	9	ASS, CTLN1
ASTL	astacin like metalloendopeptidase	2	SAS1B
ASXL2	additional sex combs like 2, transcriptional regulator	2	ASXH2, SHAPNS
ASXL3	additional sex combs like 3, transcriptional regulator	18	BRPS, KIAA1713
ATAD2	ATPase family, AAA domain containing 2	8	ANCCA, CT137, PRO2000
ATAD3A	ATPase family, AAA domain containing 3A	1	HAYOS
ATAD3B	ATPase family, AAA domain containing 3B	1	AAA-TOB3, TOB3
ATAD5	ATPase family, AAA domain containing 5	17	C17orf41, ELG1, FRAG1
ATAT1	alpha tubulin acetyltransferase 1	6	C6orf134, MEC17, Nbla00487, TAT, alpha-TAT, alpha-TAT1
ATE1	arginyltransferase 1	10	
ATF1	activating transcription factor 1	12	EWS-ATF1, FUS/ATF-1, TREB36
ATF2	activating transcription factor 2	2	CRE-BP1, CREB-2, CREB2, HB16, TREB7
ATF3	activating transcription factor 3	1	
ATF4	activating transcription factor 4	22	CREB-2, CREB2, TAXREB67, TXREB
ATF5	activating transcription factor 5	19	ATFX, HMFN0395
ATF6	activating transcription factor 6	1	ACHM7A, ATF6
ATF6B	activating transcription factor 6 beta	6	CREB-RP, CREBL1, G13
ATF7IP	activating transcription factor 7 interacting protein	12	AM, ATF-IP, MCAF, MCAF1, p621
ATG10	autophagy related 10	5	APG10, APG10L, pp12616
ATG12	autophagy related 12	5	APG12, APG12L, FBR93, HAPG12
ATG13	autophagy related 13	11	KIAA0652, PARATARG8
ATG16L1	autophagy related 16 like 1	2	APG16L, ATG16A, ATG16L, IBD10, WDR30
ATG2B	autophagy related 2B	14	C14orf103
ATG3	autophagy related 3	3	APG3, APG3-LIKE, APG3L, PC3-96
ATG4A	autophagy related 4A cysteine peptidase	X	APG4A, AUTL2
ATG4B	autophagy related 4B cysteine peptidase	2	APG4B, AUTL1
ATG4C	autophagy related 4C cysteine peptidase	1	APG4-C, APG4C, AUTL1, AUTL3
ATG4D	autophagy related 4D cysteine peptidase	19	APG4-D, APG4D, AUTL4
ATG5	autophagy related 5	6	APG5, APG5-LIKE, APG5L, ASP, SCAR25, hAPG5
ATG7	autophagy related 7	3	APG7-LIKE, APG7L, GSA7
ATG9A	autophagy related 9A	2	APG9L1, MGD3208, mATG9
ATM	ATM serine/threonine kinase	11	AT1, ATA, ATC, ATD, ATDC, ATE, TEL1, TELO1
ATOH1	atonal bHLH transcription factor 1	4	ATH1, HATH1, MATH-1, bHLHa14
ATOH8	atonal bHLH transcription factor 8	2	HATH6, bHLHa21
ATOX1	antioxidant 1 copper chaperone	5	ATX1, HAH1
ATP11A	ATPase phospholipid transporting 11A	13	ATPIH, ATPIS
ATP1B1	ATPase Na+/K+ transporting subunit beta 1	1	ATP1B
ATP1B2	ATPase Na+/K+ transporting subunit beta 2	17	AMOG
ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	12	ATP2B, DAR, DD, SERCA2
ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3	17	SERCA3
ATP2B1	ATPase plasma membrane Ca2+ transporting 1	12	PMCA1, PMCA1kb
ATP2B2	ATPase plasma membrane Ca2+ transporting 2	3	PMCA2, PMCA2a, PMCA2i
ATP2B4	ATPase plasma membrane Ca2+ transporting 4	1	ATP2B2, MXRA1, PMCA4, PMCA4b, PMCA4x
ATP2C1	ATPase secretory pathway Ca2+ transporting 1	3	ATP2C1A, BCPM, HHD, PMR1, SPCA1, hSPCA1
ATP2C2	ATPase secretory pathway Ca2+ transporting 2	16	SPCA2
ATP4A	ATPase H+/K+ transporting alpha subunit	19	ATP6A
ATP4B	ATPase H+/K+ transporting beta subunit	13	ATP6B
ATP5F1B	ATP synthase F1 subunit beta	12	ATP5B, ATPMB, ATPSB, HEL-S-271
ATP5F1E	ATP synthase F1 subunit epsilon	20	ATP5E, ATPE, MC5DN3
ATP5F1EP2	ATP synthase F1 subunit epsilon pseudogene 2	13	ATP5EP2
ATP5IF1	ATP synthase inhibitory factor subunit 1	1	ATPI, ATPIF1, ATPIP, IP
ATP5PF	ATP synthase peripheral stalk subunit F6	21	ATP5, ATP5A, ATP5J, ATPM, CF6, F6
MT-ATP6	mitochondrially encoded ATP synthase 6	MT	ATPase6, MTATP6, ATP6
ATP6V0A1	ATPase H+ transporting V0 subunit a1	17	ATP6N1, ATP6N1A, Stv1, VPP1, Vph1, a1
ATP6V0A4	ATPase H+ transporting V0 subunit a4	7	A4, ATP6N1B, ATP6N2, RDRTA2, RTA1C, RTADR, STV1, VPH1, VPP2
ATP6V0B	ATPase H+ transporting V0 subunit b	1	ATP6F, HATPL, VMA16
ATP6V0C	ATPase H+ transporting V0 subunit c	16	ATP6C, ATP6L, ATPL, VATL, VPPC, Vma3
ATP6V1A	ATPase H+ transporting V1 subunit A	3	ARCL2D, ATP6A11, HO68, VA68, VPP2, Vma1, ATP6V1A
ATP6V1C1	ATPase H+ transporting V1 subunit C1	8	ATP6C, ATP6D, VATC, Vma5
ATP6V1G3	ATPase H+ transporting V1 subunit G3	1	ATP6G3, Vma10
ATP7A	ATPase copper transporting alpha	X	DSMAX, MK, MNK, SMAX3
ATP7B	ATPase copper transporting beta	13	PWD, WC1, WD, WND
MT-ATP8	mitochondrially encoded ATP synthase 8	MT	ATPase8, MTATP8, ATP8
ATP8B1	ATPase phospholipid transporting 8B1	18	ATPIC, BRIC, FIC1, ICP1, PFIC, PFIC1
ATP9B	ATPase phospholipid transporting 9B (putative)	18	ATPASEP, ATPIIB, HUSSY-20, NEO1L, hMMR1
ATR	ATR serine/threonine kinase	3	FCTCS, FRP1, MEC1, SCKL, SCKL1
ATRX	ATRX, chromatin remodeler	X	JMS, MRX52, RAD54, RAD54L, XH2, XNP, ZNF-HX
ATXN1	ataxin 1	6	ATX1, D6S504E, SCA1
ATXN3L	ataxin 3 like	X	MJDL
ATXN7L3	ataxin 7 like 3	17	
AURKA	aurora kinase A	20	AIK, ARK1, AURA, BTAK, PPP1R47, STK15, STK6, STK7
AURKAIP1	aurora kinase A interacting protein 1	1	AIP, AKIP, MRP-S38
AURKB	aurora kinase B	17	AIK2, AIM-1, AIM1, ARK-2, ARK2, AurB, IPL1, PPP1R48, STK-1, STK12, STK5, aurkb-sv1, aurkb-sv2
AURKC	aurora kinase C	19	AIE2, AIK3, ARK3, AurC, HEL-S-90, SPGF5, STK13, aurora-C
AUTS2	AUTS2, activator of transcription and developmental regulator	7	FBRSL2, MRD26
AVEN	apoptosis and caspase activation inhibitor	15	PDCD12
AVP	arginine vasopressin	20	ADH, ARVP-NPII, AVRP, VP, AVP
AVPI1	arginine vasopressin induced 1	10	PP5395, VIP32, VIT32
AVPR2	arginine vasopressin receptor 2	X	ADHR, DI1, DIR, DIR3, NDI, V2R
AXIN1	axin 1	16	AXIN, PPP1R49
AXIN2	axin 2	17	AXIL, ODCRCS
AXL	AXL receptor tyrosine kinase	19	ARK, JTK11, Tyro7, UFO
AZF1	azoospermia factor 1	Y	AZF, AZFA, SP3
AZGP1	alpha-2-glycoprotein 1, zinc-binding	7	ZA2G, ZAG
AZIN1	antizyme inhibitor 1	8	AZI, AZI1, AZIA1, OAZI, OAZIN, ODC1L
B2M	beta-2-microglobulin	15	IMD43
B3GALNT2	beta-1,3-N-acetylgalactosaminyltransferase 2	1	B3GalNAc-T2, MDDGA11
B3GALT4	beta-1,3-galactosyltransferase 4	6	BETA3GALT4, GALT2, GALT4
B3GALT5	beta-1,3-galactosyltransferase 5	21	B3GalT-V, B3GalTx, B3T5, GLCT5, beta-1,3-GalTase 5, beta-3-Gx-T5, beta3Gal-T5
B3GAT1	beta-1,3-glucuronyltransferase 1	11	CD57, GLCATP, GLCUATP, HNK1, LEU7, NK-1, NK1
B3GNT2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	2	3-Gn-T1, 3-Gn-T2, B3GN-T2, B3GNT, B3GNT-2, B3GNT1, BETA3GNT, BGNT2, BGnT-2, beta-1, beta3Gn-T1, beta3Gn-T2
B3GNT3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3	19	B3GAL-T8, B3GN-T3, B3GNT-3, HP10328, TMEM3, beta3Gn-T3
B3GNT7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7	2	beta3GnT7
B3GNT8	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8	19	B3GALT7, BGALT15, beta3Gn-T8
B4GALNT1	beta-1,4-N-acetyl-galactosaminyltransferase 1	12	GALGT, GALNACT, GalNAc-T, SPG26
B4GALNT2	beta-1,4-N-acetyl-galactosaminyltransferase 2	17	B4GALT, GALGT2
B4GALNT3	beta-1,4-N-acetyl-galactosaminyltransferase 3	12	
B4GALT1	beta-1,4-galactosyltransferase 1	9	B4GAL-T1, CDG2D, GGTB2, GT1, GTB, beta4Gal-T1
B4GALT2	beta-1,4-galactosyltransferase 2	1	B4Gal-T2, B4Gal-T3, beta4Gal-T2
B4GALT3	beta-1,4-galactosyltransferase 3	1	beta4Gal-T3
B4GALT5	beta-1,4-galactosyltransferase 5	20	B4Gal-T5, BETA4-GALT-IV, beta4Gal-T5, beta4GalT-V, gt-V
B9D2	B9 domain containing 2	19	ICIS-1, JBTS34, MKS10, MKSR2
BABAM1	BRISC and BRCA1 A complex member 1	19	C19orf62, HSPC142, MERIT40, NBA1
BABAM2	BRISC and BRCA1 A complex member 2	2	BRCC4, BRCC45, BRE
BACE2	beta-site APP-cleaving enzyme 2	21	AEPLC, ALP56, ASP1, ASP21, BAE2, CDA13, CEAP1, DRAP
BACH1	BTB domain and CNC homolog 1	21	BACH-1, BTBD24
BACH2	BTB domain and CNC homolog 2	6	BTBD25
BAD	BCL2 associated agonist of cell death	11	BBC2, BCL2L8
BAG1	BCL2 associated athanogene 1	9	BAG-1, HAP, RAP46
BAG3	BCL2 associated athanogene 3	10	BAG-3, BIS, CAIR-1, MFM6
BAG4	BCL2 associated athanogene 4	8	BAG-4, SODD
BAG5	BCL2 associated athanogene 5	14	BAG-5
BAG6	BCL2 associated athanogene 6	6	BAG-6, BAT3, D6S52E, G3
BAGE	B melanoma antigen	21	BAGE1, CT2.1
BAGE2	BAGE family member 2	21	CT2.2
BAGE3	BAGE family member 3	21	CT2.3
BAGE4	BAGE family member 4	21	CT2.4, MLL3P
BAGE5	BAGE family member 5	13	CT2.5
BAIAP2	BAI1 associated protein 2	17	BAP2, FLAF3, IRSP53
BAIAP2L1	BAI1 associated protein 2 like 1	7	IRTKS
BAK1	BCL2 antagonist/killer 1	6	BAK, BAK-LIKE, BCL2L7, CDN1
BAMBI	BMP and activin membrane bound inhibitor	10	NMA
BANCR	BRAF-activated non-protein coding RNA	9	LINC00586
BANP	BTG3 associated nuclear protein	16	BEND1, SMAR1, SMARBP1
BAP1	BRCA1 associated protein 1	3	HUCEP-13, UCHL2, hucep-6
BARD1	BRCA1 associated RING domain 1	2	
BARX2	BARX homeobox 2	11	
BASP1	brain abundant membrane attached signal protein 1	5	CAP-23, CAP23, NAP-22, NAP22
BATF2	basic leucine zipper ATF-like transcription factor 2	11	SARI
BAX	BCL2 associated X, apoptosis regulator	19	BCL2L4
BAZ1B	bromodomain adjacent to zinc finger domain 1B	7	WBSCR10, WBSCR9, WSTF
BAZ2A	bromodomain adjacent to zinc finger domain 2A	12	TIP5, WALp3
BBC3	BCL2 binding component 3	19	JFY-1, JFY1, PUMA
BCAM	basal cell adhesion molecule (Lutheran blood group)	19	AU, CD239, LU, MSK19
BCAP31	B cell receptor associated protein 31	X	6C6-AG, BAP31, CDM, DDCH, DXS1357E
BCAR1	BCAR1, Cas family scaffolding protein	16	CAS, CAS1, CASS1, CRKAS, P130Cas
BCAR1P1	breast cancer anti-estrogen resistance 1 pseudogene 1	15	
BCAR1P2	breast cancer anti-estrogen resistance 1 pseudogene 2	15	
BCAR3	BCAR3, NSP family adaptor protein	1	AND-34, NSP2, SH2D3B
BCAR4	breast cancer anti-estrogen resistance 4 (non-protein coding)	16	
BCAS1	breast carcinoma amplified sequence 1	20	AIBC1, NABC1
BCAS2	BCAS2, pre-mRNA processing factor	1	DAM1, SPF27, Snt309
BCAS3	BCAS3, microtubule associated cell migration factor	17	GAOB1, MAAB
BCAS4	breast carcinoma amplified sequence 4	20	CNOL
BCAT1	branched chain amino acid transaminase 1	12	BCATC, BCT1, ECA39, MECA39, PNAS121, PP18
BCCIP	BRCA2 and CDKN1A interacting protein	10	TOK-1, TOK1
BCDIN3D	BCDIN3 domain containing RNA methyltransferase	12	
BCHE	butyrylcholinesterase	3	CHE1, CHE2, E1
BCL10	B cell CLL/lymphoma 10	1	CARMEN, CIPER, CLAP, IMD37, c-E10, mE10
BCL11A	B cell CLL/lymphoma 11A	2	BCL11A-L-S, BCL11A-XL, BCL11a-M, CTIP1, DILOS, EVI9, HBFQTL5, ZNF856, BCL11A
BCL2	BCL2, apoptosis regulator	18	Bcl-2, PPP1R50
BCL2A1	BCL2 related protein A1	15	ACC-1, ACC-2, ACC1, ACC2, BCL2L5, BFL1, GRS, HBPA1
BCL2L1	BCL2 like 1	20	BCL-XL/S, BCL2L, BCLX, Bcl-X, PPP1R52
BCL2L10	BCL2 like 10	15	BCL-B, Boo, Diva, bcl2-L-10
BCL2L11	BCL2 like 11	2	BAM, BIM, BOD
BCL2L12	BCL2 like 12	19	
BCL2L14	BCL2 like 14	12	BCLG
BCL2L15	BCL2 like 15	1	Bfk, C1orf178
BCL2L2	BCL2 like 2	14	BCL-W, BCL2-L-2, BCLW, PPP1R51
BCL3	B cell CLL/lymphoma 3	19	BCL4, D19S37
BCL6	B cell CLL/lymphoma 6	3	BCL5A, LAZ3, ZBTB27, ZNF51, BCL6
BCL6B	B cell CLL/lymphoma 6B	17	BAZF, ZBTB28, ZNF62
BCL9	B cell CLL/lymphoma 9	1	LGS
